2017,8,1,15
2017,8,2,8
2017,8,3,9
2017,8,4,13
2017,8,5,18
2017,8,6,0
2017,8,7,19
2017,8,8,11
2017,8,9,19
2017,8,10,0
2017,8,11,16
2017,8,12,10
2017,8,13,11
2017,8,14,0
2017,8,15,1
2017,8,16,3
2017,8,17,13
2017,8,18,5
2017,8,19,0
2017,8,20,1
2017,8,21,4
2017,8,22,6
2017,8,23,7
2017,8,24,12
2017,8,25,15
2017,8,26,1
2017,8,27,15
2017,8,28,8
2017,8,29,1
2017,8,30,2
2017,8,31,6
2017,9,1,6
2017,9,2,17
2017,9,3,3
2017,9,4,1
2017,9,5,18
2017,9,6,10
2017,9,7,19
2017,9,8,13
2017,9,9,2
2017,9,10,8
2017,9,11,10
